group	element	parenttag	filepath	vr	keyword	value	itemindex	level	type	description	publicflag	rescaleslope	rescaleintercept	rescaletype	calphantomid	error
0002	0000			UL	File Meta Information Group Length	206	1	FileMeta	1	File Meta Information Group Length 	Public					
0002	0001			OB	File Meta Information Version	0x00\0x01	1	FileMeta	1	File Meta Information Version      	Public					
0002	0002			UI	MediaStorageSOPClassUID	1.2.410.10008.5.1.4.1.1.7	1	FileMeta	1	Class UID for storage	Public					
0002	0003			UI	MediaStorageSOPInstanceUID	1.2.410.0.1.3680043.8.498.72086671478977588136793328147620910378	1	FileMeta	1	Instance UID for storage	Public					
0002	0010			UI	Transfer Syntax UID	1.2.410.10008.1.2.1	1	FileMeta	1	Transfer Syntax UID                	Public					
0002	0012			UI	Implementation Class UID	1.2.410.0.1.3680043.8.498.1	1	FileMeta	1	Implementation Class UID           	Public					
0002	0013			SH	Implementation Version Name	PYDICOM 3.0.1	1	FileMeta	1	Implementation Version Name        	Public					
0002	0016			AE	SourceApplicationEntityTitle	NRICH_AE	1	FileMeta	1	SourceApplicationEntityTitle	Public					
0002	0017			AE	SourceApplicationEntityTitle	NRICH_AE	1	FileMeta	2	SourceApplicationEntityTitle	Public					
0002	0018			AE	SendingApplicationEntityTitle	NRICH_AE	1	FileMeta	1	SendingApplicationEntityTitle	Public					
0002	0030			UI	PrivateInformationCreatorUID	1.2.410.0.1.3680043.8.498.1	1	FileMeta	1	PrivateInformationCreatorUID	Public					
0008	0005			CS	Specific Character Set	ISO_IR192	1	FileMeta	1	Specific Character Set             	Public					
0008	0007			LO	Manufacturer	DICOCH	1	FileMeta	2	Manufacturer	Public					
0008	0016			UI	SOPClassUID	1.2.410.10008.5.1.4.1.1.7	1	Image	3	SOPClassUID	Public					
0008	0018			UI	SOPInstanceUID	1.2.410.0.1.3680043.8.498.72086671478977588136793328147620910378	1	Image	3	SOPInstanceUID	Public					
0008	0020			DA	Study Date	20250723	1	FileMeta	1	Series Date                        	Public					
0008	0021			DA	Series Date	20250723	1	FileMeta	1	Content Date                       	Public					
0008	0023			DA	Content Date	20250723	1	FileMeta	1	Study Time                         	Public					
0008	0030			TM	Study Time	140925	1	FileMeta	1	Series Time                        	Public					
0008	0031			TM	Series Time	140925	1	FileMeta	1	Content Time                       	Public					
0008	0033			TM	Content Time	140925	1	FileMeta	1	Modality                           	Public					
0008	0060			CS	Modality	OT	1	Series	1	Type of equipment that originally acquired the data	Public					
0008	0061			CS	Modalities In Study	OT	1	Study	3	Modalities In Study	Public					
0008	0062			UI	SOP Classes In Study	1.2.410.0.1.3680043.8.498.72086671478977588136793328147620910378	1	Study	3	SOP Classes In Study	Public					
0008	0064			CS	Conversion Type	WSD	1	Study	1	Conversion Type	Public					
0008	0070			LO		DICOCH										
0008	0080			SH	AccessionNumber	1	1	Study	3	AccessionNumber	Public					
0008	103E			LO	Series Description	Cultural Heritage X-ray CT Scan	1	Study	3	Series Description	Public					
0008	1090			LO	Manufacturer’s Model Name	Converter v3.1	1	FileMeta	3	Manufacturer’s Model Name	Public					
0008	4144			LO	StudyDescription	X-ray CT scan of cultural heritage	1	Study	3	Text description of the study	Public					
0008	4158			LO	SeriesDescription	National Treasure No. 21 Andong Hahoe Mask	1	Series	3	Description of the series	Public					
0010	0010			PN	Patient Name	UNKNOWN	1	Image	3	Patient Name	Public					
0010	0020			LO	Patient ID	0000	1	Image	3	Patient ID	Public					
0010	0030			DA	PatientBirthDate	20250723	1	Image	3	PatientBirthDate	Public					
0010	0040			CS	PatientSex	O	1	Image	3	PatientSex	Public					
0013	0010			LO	_PrivateCreator	DICOCH_NRICH by SONG JUNG IL	1	Private	3	_PrivateCreator	Private					
0013	0011			LO	PrivateCreator20	DICOCH_Heritage Metadata Sequence	1	Private	3	PrivateCreator20	Private					
0013	0012			LO	PrivateCreator30	DICOCH_Gray Value Calibration Sequence	1	Private	3	PrivateCreator30	Private					
0013	0013			LO	PrivateCreator40	DICOCH_ROI Gray Value Sequence	1	Private	3	PrivateCreator40	Private					
0013	0014			LO	PrivateCreator50	DICOCH_HU Calibration Sequence	1	Private	3	PrivateCreator50	Private					
0013	0015			LO	PrivateCreator60	DICOCH_ROI-HU Sequence	1	Private	3	PrivateCreator60	Private					
0013	0016			LO	PrivateCreator70	DICOCH_IIIF \ International Norm Link Sequence	1	Private	3	PrivateCreator70	Private					
0013	0017			LO	PrivateCreator80	DICOCH_Security \ Access Sequence	1	Private	3	PrivateCreator80	Private					
0013	0018			LO	PrivateCreator90	DICOCH_DICOCH Private Tag Sequence	1	Private	3	PrivateCreator90	Private					
0013	1100			SQ	Heritage Metadata Sequence	Heritage Metadata Sequence	1	Private	3	Heritage Metadata Sequence	Private					
0013	1101			LO	Heritage Name	Andong Hahoe Yangban Mask	1	Private	3	Heritage Name	Private					
0013	1102			LO	Heritage ID	KR-AHYM-NT121-YB	1	Private	3	Heritage ID	Private					
0013	1103			LO	Historic Period	Goryeo Dynasty, 12th–13th	1	Private	3	Historic Period	Private					
0013	1104			UT	Material Composition	Salix spp.	1	Private	3	Material Composition	Private					
0013	1105			UT	Condition Status	Surface_Crack_3	1	Private	3	Condition Status	Private					
0013	1106			LO	Cultural Significance	NationalTreasure NO.121	1	Private	3	Cultural Significance	Private					
0013	1107			UT	Investigation Purpose	X-ray Non-destructive Precision Documentation and Internal Structure Analysis	1	Private	3	Investigation Purpose	Private					
0013	1108			PN	Investigator	National Research Institute of Cultural Heritage, NRICH	1	Private	3	Investigator	Private					
