FilePath	Group	Element	VR	Keyword	Value	ParentTag	ItemIndex	RescaleSlope	RescaleIntercept	RescaleType	CalPhantomID
	0008	0020	DA	Study Date                         	20250620	00080000	1				
	0008	0030	TM	Study Time                         	130801	00080000	1				
	0010	0010	PN	Patient Name                       	Andong Hahoe Yangban Mask	00100000	1				
	0010	0020	LO	Patient ID                         	KR-AHYM-NT121-YB	00100000	1				
	0013	0010	LO	_PrivateCreator	DICOCH_NRICH by SONG JUNG IL	00130000	1				
	0013	0011	LO	PrivateCreator20	DICOCH_Heritage Metadata Sequence		0				
	0013	0012	LO	PrivateCreator30	DICOCH_Gray Value Calibration Sequence		0				
	0013	0013	LO	PrivateCreator40	DICOCH_ROI Gray Value Sequence		0				
	0013	0014	LO	PrivateCreator50	DICOCH_HU Calibration Sequence		0				
	0013	0015	LO	PrivateCreator60	DICOCH_ROI-HU Sequence		0				
	0013	0016	LO	PrivateCreator70	DICOCH_IIIF / International Norm Link Sequence		0				
	0013	0017	LO	PrivateCreator80	DICOCH_Security / Access Sequence		0				
	0013	0018	LO	PrivateCreator90	DICOCH_DICOCH Private Tag Sequence		0				
	0013	1100	SQ	Heritage Metadata Sequence	Heritage Metadata Sequence		0				
	0013	1101	LO	Heritage Name	Andong Hahoe Yangban Mask	00131100	1				
	0013	1102	LO	Heritage ID	KR-AHYM-NT121-YB	00131100	1				
	0013	1103	LO	Historic Period	Goryeo Dynasty, 12th–13th	00131100	1				
	0013	1104	UT	Material Composition	Salix spp.	00131100	1				
	0013	1105	UT	Condition Status	Surface_Crack_3	00131100	1				
	0013	1106	LO	Cultural Significance	NationalTreasure NO.121	00131100	1				
	0013	1107	UT	Investigation Purpose	X-ray Non-destructive Precision Documentation and Internal Structure Analysis	00131100	1				
	0013	1108	PN	Investigator	National Research Institute of Cultural Heritage, NRICH	00131100	1				
	0013	1109	LO	Site Location	132 Munji-ro, Yuseong-gu, Daejeon, South Korea	00131100	1				
	0013	1200	SQ	Gray Value Calibration Sequence	Gray Value Calibration Sequence		0				
	0013	1201	DS	Mean Gray Value	6000	00131200	1				
	0013	1202	DS	Min Gray Value	1700	00131200	1				
	0013	1303	DS	Max Gray Value	65535	00131200	1				
	0013	1300	SQ	ROI Gray Value Sequence	ROI Gray Value Sequence		0				
	0013	1301	LO	ROI Label	MASK_1	00131300	1				
	0013	1302	LO	ROI Type	Polygon	00131300	1				
	0013	1303	UT	ROI Coordinates	(1387,828), (1386,828), (1386,829), (1385,829), (1385,830), (1384,830)…...(994,638), (993,638), (993,639), (992,639), (992,640)	00131300	1				
	0013	1304	DS	ROI Mean Gray Value	6000	00131300	1				
	0013	1305	DS	ROI Min Gray Value	1700	00131300	1				
	0013	1306	DS	ROI Max Gray Value	10300	00131300	1				
	0013	1400	SQ	HU Calibration Sequence	HU Calibration Sequence		0				
	0013	1401	LO	CH-HU CalRef	WaterPhantom	00131400	1				
	0013	1402	UR	MassAttenDataSrc	NIST XCOM https://physics.nist.gov/PhysRefData/Xcom/html/xcom1.html	00131400	1				
	0013	1403	DS	CH-HUCalibration Rescale Slope	1	00131400	1				
	0013	1404	DS	CH-HUCalibration Rescale Intercept	-1024	00131400	1				
	0013	1405	LO	CH-HUCalibration Rescale Type	CH-HU_NRICH	00131400	1				
	0013	1500	SQ	ROI-HU Sequence	ROI-HU Sequence		0				
	0013	1501	LO	ROI Label	MASK_1	00131500	1				
	0013	1502	LO	ROI Type	Polygon	00131500	1				
	0013	1503	UT	ROI Coordinates	(1387,828), (1386,828), (1386,829), (1385,829), (1385,830), (1384,830)…...(994,638), (993,638), (993,639), (992,639), (992,640)	00131500	1				
	0013	1504	LO	Slice Number / Frame UID	slice300-ViewImage0770	00131500	1				
	0013	1505	LO	Mean HU	676 HU	00131500	1				
	0013	1506	LO	Min HU	4976 HU	00131500	1				
	0013	1507	LO	Max HU	9276 HU	00131500	1				
	0013	1508	LO	HU StdDev	1	00131500	1				
	0013	1509	LO	Reference Material	wood	00131500	1				
	0013	1600	SQ	IIIF / International Norm Link Sequence	IIIF / International Norm Link Sequence		0				
	0013	1601	UR	IIIF Manifest URI	https://song-jung-il.github.io/Public_image/manifest.json	00131600	1				
	0013	1602	UR	IIIF ImageService URI	https://raw.githubusercontent.com/SONG-JUNG-IL/Public_image/main/slice0300.jpg	00131600	1				
	0013	1603	CS	IIIF Compliance Level	level1	00131600	1				
	0013	1604	CS	Open License Statement	Public	00131600	1				
	0013	1700	SQ	Security / Access Sequence	Security / Access Sequence		0				
	0013	1701	CS	Access Level	Public	00131700	1				
	0013	1702	DA	Embargo End Date	20250614	00131700	1				
	0013	1703	LO	Encryption Method		00131700	1				
	0013	1704	LO	Hash Algorithm		00131700	1				
	0013	1705	LO	Data Checksum		00131700	1				
	0013	1706	LO	License Type		00131700	1				
	0013	1707	LO	Authorized User ID	NRICH	00131700	1				
	0013	1708	UT	Access Audit Trail	Created:20250613;Accessed:20250613	00131700	1				
	0013	1800	SQ	DICOCH Private Tag Sequence	DICOCH Private Tag DICOCH = Digital Imaging & Communications for Cultural Heritage		1				
	0013	1801	UT	README_DICOCH_Private_Tags	"DICOCH Private Tag Group 0013 -- Complete List
============================================

File: DICOCH_Private_Tags_0013_FULL_20250614.txt
Generated: 2025-06-14

Scope
-----
This file contains every private tag entry in group (0013,xxxx) that appears in the master
spreadsheet. Use it as the authoritative reference when embedding or validating DICOCH
metadata in your DICOM files.

Format
------
    (0013,EEEE) VR ""Keyword""

0013  -- reserved private group for Digital Imaging & Communications for Cultural Heritage (DICOCH).
EEEE  -- element number as four-digit hexadecimal.
VR    -- Value Representation.
Keyword -- tag name.


Author & Contact
----------------
Song Jung‑il (송정일)
Center for Conservation Science
National Research Institute of Cultural Heritage, Republic of Korea
Email: ssong85@korea.kr

Redistribution permitted for cultural‑heritage research and archiving with attribution."	00131800	1				
